"HolderAddress","Balance","PendingBalanceUpdate"
"0xdf86adccd5d1665fbad7c9b06891eadcd5cc4b81","2000","No"
"0xdf8fdbd2765ebf9e58cd51733180a39ad658cb2d","17481.45846908","No"
"0xdf90663d8cdfbc463efa6c8ef85a05671c8b2e73","26000.98541488","No"
"0xdf967955504f4dcef56946937cea7187653da96d","126.196","No"
"0xdf96d1709f14ff32b5a06d95b66f319a70d96b2a","400683.93","No"
"0xdf97a2a9fa161f5b6748b9f5aa0f247b963a50dd","3","No"
"0xdf9c913d2ba8cb561998ecdb529ffeab5a4b7241","3183.37943437","No"
"0xdf9de64e65fd565946d6253b5e385630ef6d59dd","161.31626105","No"
"0xdf9e8d7ac20619fbdad20c7fbd7450f4cf6a6bc3","2800","No"
"0xdfa6f88482f2a83ae7c2290c5b1ef0530a1b4cc7","8427","No"
"0xdfad320d30c24a8f44e39529fe538f99fb32ab56","46180.256995","No"
"0xdfae186d980dd3684e680e9a97e1699bcb66205f","6910","No"
"0xdfb18147698716ee89772bb957496b3c7588d168","2279.97","No"
"0xdfb4edb7babcd983545f12d6fc0fd6d3f7941633","371.70063071","No"
"0xdfb5396f06be50eaa745094ff51d272c292cc218","333","No"
"0xdfb56bd421f407da504e93673a4f399f2a6b0c6e","16820.94221175","No"
"0xdfba2ca9d7e5ca410965123969243e0042a79a39","5384","No"
"0xdfbb2da989def65d0f213b86b8df3b95974db0a8","174","No"
"0xdfc3ef463e2b8b4f47116da12956f2541ab29ca2","2135","No"
"0xdfcdf4ba424af68fcea36240b9256e67641b6676","1","No"
"0xdfd2706dc9c70fe72d7ac670442ac506c0c5dc4a","10200","No"
"0xdfd30d4a9474df7c63da655aff2c732827a76825","1665.328","No"
"0xdfd33780d85c1560021b0b9eab257e7708582f76","14133.19012988","No"
"0xdfd38cfebcd556c1e28bf15f66c55246db6b65d6","4779.16651252","No"
"0xdfd5293d8e347dfe59e90efd55b2956a1343963d","1561510.65223209","No"
"0xdfd5670091cfcf0ae6c58dceb06b03b901ef5b82","50724.07462962","No"
"0xdfd7a0e25b214dd3c1a7b82e146351c2e2d3b380","304.84904923","No"
"0xdfd7aa069ab261458120c0ffe145b25d8233a0a4","17500","No"
"0xdfdabd40b28d1aa137b5320fe0e260a3f62268fd","22.4099","No"
"0xdfde55a85f58c2ac5e3c2ddbbaf2515064ef2523","3675","No"
"0xdfdf9231dfdb054226cfea2f78ba6e5bd6015827","924.56023884","No"
"0xdfe0b51c9be7a37bf92fbd159a06b629fee8c1ab","173","No"
"0xdfe29ddc421a2b8fe60b64cc2ad40f97ba55d2ab","36.95644937","No"
"0xdfe2d059c2c94ee9bffea0711f1cdc9053f6a550","30","No"
"0xdfe37997b8cc9743716ea7f52718f4391513d1dd","99792.981","No"
"0xdfe7633e5ed20b850b845411d95d2d821c8dfb91","287.8916","No"
