"HolderAddress","Balance","PendingBalanceUpdate"
"0x00c9947100867de4a9e8f67d4de975f8f13f1846","284.06170018","No"
"0x00ca9c0e2dc13223a4c235597c515d29f803e7ea","197.8","No"
"0x00cbe6adf773365fdfe05b939c3588595e9ab7ed","18100.53090773","No"
"0x00cd18a4655c0b5a90e05a91698862e1d2313160","25533.87901648","No"
"0x00cecd4970fcdab9e1f4bb115f55816c45bde8f5","12538.287","No"
"0x00cf1f0ebb03aa5921a2c1303e8f815b8561f317","366.2637","No"
"0x00cfd73f206a9f39b5fdb718c8abcc50ea23ef20","1019.85558583","No"
"0x00d051ce84ecf260405ca1807d643777b2865728","463.75","No"
"0x00d2c5ba20e452bd1416c724bd1523bbd9a1c121","82.0909","No"
"0x00d3dcc5314de009d409cb0c5a8faea125085c0b","6567.38","No"
"0x00d6026f6d055dd41bd585772a73d3d85f2ac0b7","344790","No"
"0x00d74106825159aa8d6b80174bc31df2bec21db0","1765.87775","No"
"0x00d8f053874143b59d5a2e9a8262409aefcad35f","2196.0582","No"
"0x00d91682709652602a9e7411d3db8f4290c55c94","2220.1030152","No"
"0x00d951c665ba44559f819caea9f7461e385c798f","3343","No"
"0x00d999e876db6c2cdf87430feeea028f2d059ed0","3.89","No"
"0x00da96af5ecf309d4f204d13f8b2a8d0e8482571","5904.87","No"
"0x00dfc2205e8b1e3faa4b35d19bbb0a85de78e181","10013.8987","No"
"0x00e63988f08e5562f19cdcfe96b0ac8102a7f396","18375","No"
"0x00e8e06950fa90d65f386275b78c73b68ef38ef0","361.14","No"
"0x00ea21e18daad781dfa97130e09c6e41c007dbbd","1096.4309","No"
"0x00f63722233f5e19010e5daf208472a8f27d304b","7748.164","No"
"0x00f717d449316208d0052cd57705e09baf258503","968.12837478","No"
"0x01099c9f0ccf5017e41e8d993e6f21da9b2d139a","13550.00334471","No"
"0x010a7574623e26dbff3c0e86dc4ce43a6b6d59b2","509","No"
"0x010d9ef1b955e8fbd1a4048fc209b5c1f991857b","111678.4287741","No"
"0x010feedf72beaf603203530ed87634608532b974","86.409","No"
"0x01111185d58aaa289f6e2d2f744a507e06435852","1965.19159798","No"
"0x011343b57435e6cf3ee240b48af891a15759ec6e","53958","No"
"0x01164e43e330b7ad7cce6e86d1c947d08afd52f3","1258","No"
"0x011e8fb24f34083b848b3feaaf56f0d6888a165e","2982.53517754","No"
"0x01206b229eacb38d5f1f89eb2347d73ee4f22f05","12480","No"
"0x01271f0c2338d62cadaa90bf684b1f1e93245e1a","1435.47181848","No"
"0x012a3939906d778d2bdef37b501c052d42cea24d","35000","No"
"0x012af2dbd629465dbf7ac82a79133cd8ed5fc429","727.9177454","No"
"0x012c32747530cdddc2c826b3c6f2b738b2f9bf08","149","No"
"0x012f3976c93260f7e4ce1289638278a870b6678d","3283.30463222","No"
"0x012f95f352043c4d8fb119d92d2cdc8962abc68d","1221.13942251","No"
"0x012ff4a930bb555614eb0d991f17cccf231b0d3d","30700.69912266","No"
"0x013571b869f6e1c4bb19e6787eade1693e26e671","602.46283283","No"
"0x013792c589c6df88045022e9804cc6f0b0e7fbc0","30000.149","No"
"0x013879946d505fde8c04810986e8a48f4cfc74ac","917.5077","No"
"0x0139bb06d0b4a91ecace63af198244b89cd9262f","3745.5879898","No"
"0x013bf53f18b27a957df4b300f3678f30a96432c3","83.07759059","No"
"0x013e6a887523ee4249874c10fd76631487b496a5","369.5097","No"
"0x013efd77e543669808009586d052c33afd19873b","2640.163","No"
"0x013f1000d42ce76eb319b429ab82688a8ea6f553","36750","No"
"0x0140b54e66070b6af7e7a91540b88e429c1a22b3","40.0009","No"
"0x01445d85b02066e09d951cc4ea71f8e9970e8e90","32.614607","No"
"0x0147d7ea5af37b699e63fc44c5f7c3be31ea6624","11750","No"
"0x01489475bffe437d26d7d3d07431cb50b8322604","6910","No"
"0x014fae6fb6205335f630f4db2266fd7e9da107fe","500","No"
"0x015bb41e3211196a6e0922935e8bc2ceab486cbd","1264.812","No"
"0x015fa0c13f90e86f369c0ac5d46cfc61897a628d","2409.42915902","No"
"0x01610280b34802289fe66b1dcb6c8b103a1c3ae6","1936.98","No"
"0x0161c7fb522459ed279b3014d3c9b23704ea7f4e","2192.11","No"
"0x01654a117a12f0804c4afd6f836b6d584811b369","22546.33237584","No"
"0x0170fee8b3ccbc76f9dc013a49b9a235a96c0f26","19882","No"
"0x017d88067660f772b00417661dc18e5e95ae15c2","50433.53551786","No"
"0x0181a709e165195bd67651bb5304b4cab6e0ada2","700000","No"
